S.No,Name,A,B,C,D,E,C,Vacancy of beds with O2 supply under CHC and CDH as on 06.09.2021,Vacancy of beds with Non O2 supply under CHC and CDH as on 06.09.2021,Vacancy of beds in ICU under CHC and CDH as on 06.09.2021,Total Vacant beds under CHC and CDH as on 06.09.2021
1,Ariyalur,451,145,83,47,14,3,404,131,80,615
2,Chengalpattu,1981,2817,671,47,58,21,1934,2759,650,5343
3,Chennai,8614,3770,1944,468,378,181,8146,3392,1763,13301
4,Coimbatore,4494,1923,643,441,302,133,4053,1621,510,6184
5,Cuddalore,1034,594,174,63,72,75,971,522,99,1592
6,Dharmapuri,413,214,178,34,16,26,379,198,152,729
7,Dindigul,603,797,154,10,52,9,593,745,145,1483
8,Erode,2125,992,339,330,196,53,1795,796,286,2877
9,Kallakurichi,602,253,80,29,20,10,573,233,70,876
10,Kancheepuram,1318,1192,127,51,8,6,1267,1184,121,2572
11,Kanniyakumari,834,1044,247,40,55,23,794,989,224,2007
12,Karur,1010,231,160,42,10,16,968,221,144,1333
13,Krishnagiri,924,180,142,47,0,14,877,180,128,1185
14,Madurai,3152,1396,687,89,44,24,3063,1352,663,5078
15,Mayiladuthurai,280,220,14,45,63,3,235,157,11,403
16,Nagapattinam,214,274,51,21,78,7,193,196,44,433
17,Namakkal,577,363,121,73,35,21,504,328,100,932
18,Nilgiris,577,335,81,115,87,27,462,248,54,764
19,Perambalur,365,364,100,2,6,0,363,358,100,821
20,Pudukkottai,710,464,100,21,128,23,689,336,77,1102
21,Ramanathapuram,586,495,121,3,2,0,583,493,121,1197
22,Ranipet,436,199,13,5,36,0,431,163,13,607
23,Salem,1917,1568,528,220,165,81,1697,1403,447,3547
24,Sivaganga,1183,558,190,19,38,5,1164,520,185,1869
25,Tenkasi,144,176,37,1,21,1,143,155,36,334
26,Thanjavur,723,936,268,205,187,45,518,749,223,1490
27,Theni,1071,487,134,6,3,0,1065,484,134,1683
28,Thoothukudi,1022,306,187,16,5,12,1006,301,175,1482
29,Tiruchirappalli,2352,1367,484,78,103,30,2274,1264,454,3992
30,Tirunelveli,423,264,181,28,0,5,395,264,176,835
31,Tirupathur,425,406,45,19,47,13,406,359,32,797
32,Tiruppur,731,588,222,70,24,13,661,564,209,1434
33,Tiruvallur,1317,661,229,60,10,13,1257,651,216,2124
34,Tiruvannamalai,989,241,204,111,21,28,878,220,176,1274
35,Tiruvarur,413,246,144,54,49,31,359,197,113,669
36,Vellore,1035,334,239,14,24,18,1021,310,221,1552
37,Villupuram,395,295,97,62,19,21,333,276,76,685
38,Virudhunagar,1020,441,163,4,16,1,1016,425,162,1603
